食品名,P,F,C
アマランサス　玄穀,12.7 ,6.0,59.9 
あわ　精白粒,11.2 ,4.4 ,67.6 
あわ　あわもち,5.1 ,1.3 ,44.6 
えんばく　オートミール,13.7 ,5.7 ,61.8 
おおむぎ　七分つき押麦,10.9 ,2.1 ,63.3 
おおむぎ　押麦　乾,6.7 ,1.5 ,67.2 
おおむぎ　押麦　めし,2.2 ,0.5 ,24.6 
おおむぎ　米粒麦,7.0,2.1 ,68.6 
おおむぎ　大麦めん　乾,12.9 ,1.7 ,63.2 
おおむぎ　大麦めん　ゆで,4.8 ,0.6 ,22.3 
おおむぎ　麦こがし,12.5 ,5.0,63.8 
キヌア　玄穀,13.4 ,3.2 ,67.1 
きび　精白粒,11.3 ,3.3 ,70.9 
こむぎ　［玄穀］　国産　普通,10.8 ,3.1 ,59.8 
こむぎ　［玄穀］　輸入　軟質,10.1 ,3.3 ,64.6 
こむぎ　［玄穀］　輸入　硬質,13.0,3.0,58.5 
こむぎ　［小麦粉］　薄力粉　1等,8.3 ,1.5 ,74.1 
こむぎ　［小麦粉］　薄力粉　2等,9.3 ,1.9 ,72.9 
こむぎ　［小麦粉］　中力粉　1等,9,1.6 ,73.2 
こむぎ　［小麦粉］　中力粉　2等,9.7 ,1.8 ,73
こむぎ　［小麦粉］　強力粉　1等,11.8 ,1.5 ,70.1 
こむぎ　［小麦粉］　強力粉　2等,12.6 ,1.7 ,69.5 
こむぎ　［小麦粉］　強力粉　全粒粉,12.8 ,2.9 ,58.6 
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,10.1 ,1.9 ,72.7 
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,7.8 ,4.0,74.2 
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,10.2 ,1.2 ,68.6 
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,8.8 ,1.3 ,74.6 
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,3.3 ,0.5 ,29.6 
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,4.3 ,47.7 ,34.3 
こむぎ　［パン類］　角形食パン　食パン,8.9 ,4.1 ,44.1 
こむぎ　［パン類］　角形食パン　焼き,9.7 ,4.5 ,47.9 
こむぎ　［パン類］　角形食パン　耳を除いたもの,8.2 ,3.7 ,40.4 
こむぎ　［パン類］　角形食パン　耳,9.7 ,4.5 ,46.1 
こむぎ　［パン類］　食パン　リーンタイプ,8.0 ,3.7 ,46.4 
こむぎ　［パン類］　食パン　リッチタイプ,7.8 ,6.0 ,44.9 
こむぎ　［パン類］　山形食パン　食パン,7.8 ,3.5 ,46.8 
こむぎ　［パン類］　コッペパン,8.5 ,3.8 ,48.5 
こむぎ　［パン類］　乾パン,9.5 ,4.4 ,76.8 
こむぎ　［パン類］　フランスパン,9.4 ,1.3 ,55.8 
こむぎ　［パン類］　ライ麦パン,8.4 ,2.2 ,49.0
こむぎ　［パン類］　全粒粉パン,7.9 ,5.7 ,41.9 
こむぎ　［パン類］　ぶどうパン,8.2 ,3.5 ,50.0
こむぎ　［パン類］　ロールパン,10.1 ,9.0,48.6 
こむぎ　［パン類］　クロワッサン　レギュラータイプ,6.5 ,20.4 ,51.2 
こむぎ　［パン類］　クロワッサン　リッチタイプ,7.9 ,26.8 ,44.2 
こむぎ　［パン類］　くるみパン,8.2 ,12.6 ,37.0 
こむぎ　［パン類］　イングリッシュマフィン,8.1 ,3.6 ,40.6 
こむぎ　［パン類］　ナン,10.3 ,3.4 ,46.7 
こむぎ　［パン類］　ベーグル,9.6 ,2.0,53.6 
こむぎ　［うどん・そうめん類］　うどん　生,6.1 ,0.6 ,54.2 
こむぎ　［うどん・そうめん類］　うどん　ゆで,2.6 ,0.4 ,20.7 
こむぎ　［うどん・そうめん類］　うどん　半生うどん,7.8 ,3.4 ,60.0 
こむぎ　［うどん・そうめん類］　干しうどん　乾,8.5 ,1.1 ,70.2 
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,3.1 ,0.5 ,25.4 
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,9.5 ,1.1 ,71.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,3.5 ,0.4 ,25.1 
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,9.3 ,1.5 ,67.9 
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,3.5 ,0.6 ,24.9 
こむぎ　［中華めん類］　中華めん　生,8.6 ,1.2 ,50.4 
こむぎ　［中華めん類］　中華めん　ゆで,4.9 ,0.6 ,26.5 
こむぎ　［中華めん類］　半生中華めん　,9.9 ,4.0 ,55.4 
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,4.9 ,1.7 ,32.5 
こむぎ　［中華めん類］　蒸し中華めん  ソテー,5.2 ,4.9 ,35.8 
こむぎ　［中華めん類］　干し中華めん　乾,11.7 ,1.6 ,64.5 
こむぎ　［中華めん類］　干し中華めん　ゆで,4.9 ,0.5 ,25.1 
こむぎ　［中華めん類］　沖縄そば　生,9.2 ,2.0,52.5 
こむぎ　［中華めん類］　沖縄そば　ゆで,5.2 ,0.8 ,26.7 
こむぎ　［中華めん類］　干し沖縄そば　乾,12.0,1.7 ,66.1 
こむぎ　［中華めん類］　干し沖縄そば　ゆで,5.2 ,0.6 ,27.2 
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,10.1 ,16.7 ,62.5 
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　添付調味料等を含むもの,10.1 ,19.1 ,59.5 
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　添付調味料等を含むもの,2.3 ,4.4 ,12.8 
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　添付調味料等を含まないもの,3.9 ,7.7 ,26.4 
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　添付調味料等を含まないもの,8.9 ,19.6 ,60.7 
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含むもの,10.3 ,5.2 ,65.1 
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　添付調味料等を含むもの,3.0 ,0.8 ,18.0 
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　添付調味料等を含まないもの,3.4 ,0.8 ,28.7 
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含まないもの,8.5 ,1.9 ,69.4 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　添付調味料等を含むもの,10.9 ,18.5 ,54.7 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　添付調味料等を含むもの,2.5 ,4.2 ,11.2 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　スープを残したもの,3.8 ,7.7 ,24.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　添付調味料等を含むもの,10.0,19.1 ,50.5 
